date,store_id,product_id,price,sales
2021-01-01,1,101,59.72,126
2021-01-02,1,101,63.05,107
2021-01-03,1,101,59.53,103
2021-01-04,1,101,61.53,133
2021-01-05,1,101,61.09,123
2021-01-06,1,101,59.07,123
2021-01-07,1,101,56.17,127
2021-01-08,1,101,58.88,118
2021-01-09,1,101,60.63,102
2021-01-10,1,101,57.18,103
2021-01-11,1,101,59.55,135
2021-01-12,1,101,57.15,129
2021-01-13,1,101,60.22,126
2021-01-14,1,101,60.75,123
2021-01-15,1,101,59.42,127
2021-01-16,1,101,63.7,107
2021-01-17,1,101,57.88,110
2021-01-18,1,101,57.56,135
2021-01-19,1,101,56.08,132
2021-01-20,1,101,60.39,125
2021-01-21,1,101,60.34,136
2021-01-22,1,101,59.4,132
2021-01-23,1,101,58.56,106
2021-01-24,1,101,62.11,111
2021-01-25,1,101,56.47,136
2021-01-26,1,101,59.23,136
2021-01-27,1,101,61.22,131
2021-01-28,1,101,61.86,140
2021-01-29,1,101,59.38,131
2021-01-30,1,101,61.95,118
2021-01-31,1,101,59.63,114
2021-02-01,1,101,57.61,131
2021-02-02,1,101,62.71,141
2021-02-03,1,101,62.01,137
2021-02-04,1,101,58.71,140
2021-02-05,1,101,63.08,140
2021-02-06,1,101,63.13,118
2021-02-07,1,101,61.64,106
2021-02-08,1,101,59.4,140
2021-02-09,1,101,56.02,140
2021-02-10,1,101,60.71,139
2021-02-11,1,101,58.96,148
2021-02-12,1,101,59.0,137
2021-02-13,1,101,60.66,126
2021-02-14,1,101,61.03,119
2021-02-15,1,101,61.94,142
2021-02-16,1,101,59.34,139
2021-02-17,1,101,57.07,141
2021-02-18,1,101,60.52,144
2021-02-19,1,101,59.53,143
2021-02-20,1,101,59.16,116
2021-02-21,1,101,58.4,122
2021-02-22,1,101,60.81,143
2021-02-23,1,101,60.35,154
2021-02-24,1,101,59.85,146
2021-02-25,1,101,59.95,135
2021-02-26,1,101,64.93,146
2021-02-27,1,101,60.6,125
2021-02-28,1,101,57.66,126
2021-03-01,1,101,61.5,152
2021-03-02,1,101,58.18,150
2021-03-03,1,101,57.2,154
2021-03-04,1,101,64.38,150
2021-03-05,1,101,58.87,142
2021-03-06,1,101,58.99,128
2021-03-07,1,101,60.14,120
2021-03-08,1,101,60.95,143
2021-03-09,1,101,63.1,144
2021-03-10,1,101,59.36,145
2021-03-11,1,101,57.54,153
2021-03-12,1,101,62.61,150
2021-03-13,1,101,60.37,121
2021-03-14,1,101,61.56,131
2021-03-15,1,101,57.36,143
2021-03-16,1,101,60.59,152
2021-03-17,1,101,60.69,151
2021-03-18,1,101,60.46,147
2021-03-19,1,101,58.57,152
2021-03-20,1,101,60.95,140
2021-03-21,1,101,61.31,125
2021-03-22,1,101,61.57,146
2021-03-23,1,101,58.36,157
2021-03-24,1,101,60.83,156
2021-03-25,1,101,63.79,155
2021-03-26,1,101,58.49,150
2021-03-27,1,101,58.37,127
2021-03-28,1,101,60.68,131
2021-03-29,1,101,61.65,153
2021-03-30,1,101,62.91,152
2021-03-31,1,101,65.44,151
2021-04-01,1,101,58.29,155
2021-04-02,1,101,60.96,147
2021-04-03,1,101,61.43,131
2021-04-04,1,101,59.85,135
2021-04-05,1,101,56.97,148
2021-04-06,1,101,61.71,150
2021-04-07,1,101,57.51,154
2021-04-08,1,101,60.77,154
2021-04-09,1,101,60.31,148
2021-04-10,1,101,57.71,133
2021-04-11,1,101,61.12,135
2021-04-12,1,101,62.11,158
2021-04-13,1,101,58.12,146
2021-04-14,1,101,61.03,155
2021-04-15,1,101,67.71,156
2021-04-16,1,101,62.27,156
2021-04-17,1,101,61.3,138
2021-04-18,1,101,61.52,131
2021-04-19,1,101,59.53,149
2021-04-20,1,101,60.16,151
2021-04-21,1,101,56.27,165
2021-04-22,1,101,56.77,156
2021-04-23,1,101,62.18,151
2021-04-24,1,101,57.84,133
2021-04-25,1,101,61.36,129
2021-04-26,1,101,60.43,149
2021-04-27,1,101,58.7,153
2021-04-28,1,101,61.27,163
2021-04-29,1,101,60.37,143
2021-04-30,1,101,61.7,149
2021-05-01,1,101,59.77,129
2021-05-02,1,101,61.73,135
2021-05-03,1,101,59.33,146
2021-05-04,1,101,58.69,150
2021-05-05,1,101,60.81,161
2021-05-06,1,101,61.84,146
2021-05-07,1,101,62.06,163
2021-05-08,1,101,59.03,124
2021-05-09,1,101,58.58,138
2021-05-10,1,101,61.55,154
2021-05-11,1,101,59.88,147
2021-05-12,1,101,57.95,135
2021-05-13,1,101,57.5,150
2021-05-14,1,101,57.14,159
2021-05-15,1,101,60.26,129
2021-05-16,1,101,57.13,138
2021-05-17,1,101,60.02,157
2021-05-18,1,101,60.92,146
2021-05-19,1,101,58.8,152
2021-05-20,1,101,59.23,151
2021-05-21,1,101,61.32,151
2021-05-22,1,101,57.52,138
2021-05-23,1,101,56.1,141
2021-05-24,1,101,61.18,149
2021-05-25,1,101,58.75,151
2021-05-26,1,101,59.01,148
2021-05-27,1,101,61.7,146
2021-05-28,1,101,58.61,151
2021-05-29,1,101,60.61,133
2021-05-30,1,101,61.26,133
2021-05-31,1,101,58.88,144
2021-06-01,1,101,61.22,152
2021-06-02,1,101,60.23,148
2021-06-03,1,101,58.82,154
2021-06-04,1,101,59.6,150
2021-06-05,1,101,62.2,126
2021-06-06,1,101,61.63,131
2021-06-07,1,101,60.04,154
2021-06-08,1,101,59.38,150
2021-06-09,1,101,59.74,148
2021-06-10,1,101,61.19,147
2021-06-11,1,101,64.18,142
2021-06-12,1,101,57.57,121
2021-06-13,1,101,61.58,131
2021-06-14,1,101,61.26,149
2021-06-15,1,101,58.21,145
2021-06-16,1,101,58.65,145
2021-06-17,1,101,59.71,150
2021-06-18,1,101,59.36,140
2021-06-19,1,101,58.87,126
2021-06-20,1,101,60.49,120
2021-06-21,1,101,58.99,145
2021-06-22,1,101,60.46,141
2021-06-23,1,101,57.19,136
2021-06-24,1,101,59.57,139
2021-06-25,1,101,62.95,144
2021-06-26,1,101,59.68,127
2021-06-27,1,101,57.99,122
2021-06-28,1,101,59.42,142
2021-06-29,1,101,58.35,143
2021-06-30,1,101,63.07,144
2021-07-01,1,101,60.8,141
2021-07-02,1,101,59.2,145
2021-07-03,1,101,60.03,122
